Time: 2026-03-20 09:45:02.086648, Current moisture: 12.0, Raw moisture: 56.06333333333333
Time: 2026-03-20 10:00:01.362213, Current moisture: 12.0, Raw moisture: 47.0
Time: 2026-03-20 10:15:01.720200, Current moisture: 12.0, Raw moisture: 56.73
Time: 2026-03-20 10:30:02.019033, Current moisture: 12.0, Raw moisture: 48.54333333333334
Time: 2026-03-20 10:45:01.292927, Current moisture: 12.0, Raw moisture: 54.41
Time: 2026-03-20 11:00:01.566282, Current moisture: 12.0, Raw moisture: 39.53
Time: 2026-03-20 11:15:01.922487, Current moisture: 12.0, Raw moisture: 49.43
Time: 2026-03-20 11:30:01.217864, Current moisture: 12.0, Raw moisture: 55.31333333333333
Time: 2026-03-20 11:45:01.497642, Current moisture: 12.0, Raw moisture: 44.20333333333333
Time: 2026-03-20 12:00:01.808917, Current moisture: 12.0, Raw moisture: 51.24666666666667
Time: 2026-03-20 12:15:02.165006, Current moisture: 12.0, Raw moisture: 52.55
Time: 2026-03-20 12:30:01.453331, Current moisture: 12.0, Raw moisture: 45.06666666666667
Time: 2026-03-20 12:45:01.720808, Current moisture: 12.0, Raw moisture: 58.483333333333334
Time: 2026-03-20 13:00:01.976232, Current moisture: 12.0, Raw moisture: 37.17
Time: 2026-03-20 13:15:01.342552, Current moisture: 12.0, Raw moisture: 52.406666666666666
Time: 2026-03-20 13:30:01.641617, Current moisture: 12.0, Raw moisture: 60.486666666666665
Time: 2026-03-20 13:45:01.569369, Current moisture: 12.0, Raw moisture: 51.35333333333333
Time: 2026-03-20 14:00:01.853881, Current moisture: 12.0, Raw moisture: 35.016666666666666
Time: 2026-03-20 14:15:01.211624, Current moisture: 12.0, Raw moisture: 51.79333333333334
Time: 2026-03-20 14:30:01.519057, Current moisture: 12.0, Raw moisture: 63.55
Time: 2026-03-20 14:45:01.786571, Current moisture: 12.0, Raw moisture: 57.50333333333333
Time: 2026-03-20 15:00:02.069803, Current moisture: 12.0, Raw moisture: 48.25333333333333
Time: 2026-03-20 15:15:01.422883, Current moisture: 12.0, Raw moisture: 53.18333333333333
Time: 2026-03-20 15:30:01.723770, Current moisture: 12.0, Raw moisture: 51.85666666666667
Time: 2026-03-20 15:45:02.001235, Current moisture: 12.0, Raw moisture: 57.516666666666666
Time: 2026-03-20 16:00:01.284258, Current moisture: 12.0, Raw moisture: 40.95333333333333
Time: 2026-03-20 16:15:01.636724, Current moisture: 12.0, Raw moisture: 50.69
Time: 2026-03-20 16:30:01.935508, Current moisture: 12.0, Raw moisture: 49.9
Time: 2026-03-20 16:45:01.206798, Current moisture: 12.0, Raw moisture: 45.73
Time: 2026-03-20 17:00:01.491088, Current moisture: 12.0, Raw moisture: 47.45666666666666
Time: 2026-03-20 17:15:01.852070, Current moisture: 12.0, Raw moisture: 52.656666666666666
Time: 2026-03-20 17:30:02.147794, Current moisture: 12.0, Raw moisture: 46.39
Time: 2026-03-20 17:45:01.399785, Current moisture: 12.0, Raw moisture: 53.49
Time: 2026-03-20 18:00:01.666124, Current moisture: 12.0, Raw moisture: 35.42
Time: 2026-03-20 18:15:02.022358, Current moisture: 12.0, Raw moisture: 48.556666666666665
Time: 2026-03-20 18:30:01.328460, Current moisture: 12.0, Raw moisture: 58.81
Time: 2026-03-20 18:45:01.581094, Current moisture: 12.0, Raw moisture: 48.766666666666666
Time: 2026-03-20 19:00:01.860630, Current moisture: 12.0, Raw moisture: 41.666666666666664
Time: 2026-03-20 19:15:01.219446, Current moisture: 12.0, Raw moisture: 60.663333333333334
Time: 2026-03-20 19:30:01.515658, Current moisture: 12.0, Raw moisture: 52.27333333333333
Time: 2026-03-20 19:45:01.770251, Current moisture: 12.0, Raw moisture: 48.86333333333334
Time: 2026-03-20 20:00:02.051606, Current moisture: 12.0, Raw moisture: 32.943333333333335
Time: 2026-03-20 20:15:01.408138, Current moisture: 12.0, Raw moisture: 63.60666666666667
Time: 2026-03-20 20:30:01.701380, Current moisture: 12.0, Raw moisture: 53.876666666666665
Time: 2026-03-20 20:45:01.969155, Current moisture: 12.0, Raw moisture: 60.013333333333335
Time: 2026-03-20 21:00:01.251935, Current moisture: 12.0, Raw moisture: 48.373333333333335
Time: 2026-03-20 21:15:01.614985, Current moisture: 12.0, Raw moisture: 46.35333333333333
Time: 2026-03-20 21:30:01.924531, Current moisture: 12.0, Raw moisture: 61.77
Time: 2026-03-20 21:45:01.188770, Current moisture: 12.0, Raw moisture: 48.23
Time: 2026-03-20 22:00:01.472704, Current moisture: 12.0, Raw moisture: 57.5
Time: 2026-03-20 22:15:01.829534, Current moisture: 12.0, Raw moisture: 51.56333333333333
Time: 2026-03-20 22:30:02.125249, Current moisture: 12.0, Raw moisture: 49.416666666666664
Time: 2026-03-20 22:45:01.392758, Current moisture: 12.0, Raw moisture: 56.13333333333333
Time: 2026-03-20 23:00:01.674204, Current moisture: 12.0, Raw moisture: 46.39666666666667
Time: 2026-03-20 23:15:02.026381, Current moisture: 12.0, Raw moisture: 58.7
Time: 2026-03-20 23:30:01.322643, Current moisture: 12.0, Raw moisture: 51.72666666666667
Time: 2026-03-20 23:45:01.590090, Current moisture: 12.0, Raw moisture: 58.41
Time: 2026-03-21 00:00:01.859713, Current moisture: 12.0, Raw moisture: 37.64333333333333
Time: 2026-03-21 00:15:01.211591, Current moisture: 12.0, Raw moisture: 55.62
Time: 2026-03-21 00:30:01.507294, Current moisture: 12.0, Raw moisture: 45.31
Time: 2026-03-21 00:45:01.773140, Current moisture: 12.0, Raw moisture: 62.00666666666667
Time: 2026-03-21 01:00:02.060143, Current moisture: 12.0, Raw moisture: 41.166666666666664
Time: 2026-03-21 01:15:01.417589, Current moisture: 12.0, Raw moisture: 53.72666666666667
Time: 2026-03-21 01:30:01.727849, Current moisture: 12.0, Raw moisture: 52.986666666666665
Time: 2026-03-21 01:45:01.997057, Current moisture: 12.0, Raw moisture: 61.77
Time: 2026-03-21 02:00:01.281401, Current moisture: 12.0, Raw moisture: 45.766666666666666
Time: 2026-03-21 02:15:01.645522, Current moisture: 12.0, Raw moisture: 57.36
Time: 2026-03-21 02:30:01.947227, Current moisture: 12.0, Raw moisture: 53.07333333333333
Time: 2026-03-21 02:45:01.220709, Current moisture: 12.0, Raw moisture: 61.833333333333336
Time: 2026-03-21 03:00:01.496591, Current moisture: 12.0, Raw moisture: 55.843333333333334
Time: 2026-03-21 03:15:01.874819, Current moisture: 12.0, Raw moisture: 43.67333333333333
Time: 2026-03-21 03:30:01.168210, Current moisture: 12.0, Raw moisture: 59.596666666666664
Time: 2026-03-21 03:45:01.435316, Current moisture: 12.0, Raw moisture: 49.843333333333334
